#{"t_start": 1768235691.3514054, "env_id": "None"}
r,l,t
20.681834,504,49.385955
13.570501,466,96.617653
4.797298,364,135.801065
2.421651,359,173.937409
-2.003051,319,211.613591
6.878622,447,266.66108
17.616349,495,320.757206
13.249691,477,365.710682
17.475421,495,409.69239
6.922652,477,454.922482
5.700234,392,497.372296
4.377619,379,535.211581
32.937463,540,573.254411
24.585702,512,609.047574
0.052365,368,633.271217
2.943453,421,661.046265
6.746905,458,691.74044
10.792767,475,723.123435
10.00644,505,757.681258
17.660991,533,795.061522
12.486725,466,825.944566
10.47159,497,859.185668
2.592668,389,886.146965
13.333304,494,918.9977
17.288216,497,952.52461
11.822928,493,985.109675
16.274993,493,1018.854123
23.54344,509,1052.595062
6.644557,466,1083.308165
15.122879,505,1116.724518
18.666788,509,1150.552509
34.365621,540,1187.646794
26.675253,540,1223.810736
33.942161,540,1259.568208
-3.237709,388,1285.257501
19.489127,540,1322.356975
25.467747,520,1357.194486
17.672957,513,1391.617737
-0.593044,406,1418.715151
14.572028,485,1452.185623
35.996116,540,1489.227356
20.435263,507,1527.146718
22.754502,540,1573.520979
